index,SubmissionDate,start_time,end_time,today_date,deviceid,phonenumber,email,username,report_full_date,location-region,location-district,location-facility,name-facility_if_not_listed,tally-report_month,tally-total_patients,tally-total_visits,tally-total_vials,comments,meta-instanceID,KEY,SubmitterID,SubmitterName,AttachmentsPresent,AttachmentsExpected,Status,ReviewState,DeviceID,Edits,FormVersion,region_name,tangis_region_id,district_council_name,tangis_district_council_id,facility_name,tangis_facility_id
0,2025-05-09T08:30:24.196Z,2025-05-09T11:29:38.514+03:00,2025-05-09T11:30:21.762+03:00,2025-05-09,collect:Pmh3kQgt7NXTadB7,,,audrey,2025-04-01,Mtwara|d7065a46-0e02-44bb-8dce-0ef3e7a9105c,Nanyumbu District Council|96bac590-90d1-4607-bb01-4662d0625df5,Nanyumbu Hospital|c22e2466-554d-4fe7-8bd2-3dcf9f88df01,,Apr (4/2025),22,10,183,,uuid:ad1a92e6-27e6-43ce-a572-a1668b5085a1,uuid:ad1a92e6-27e6-43ce-a572-a1668b5085a1,47,Human Health Workers,0,0,,,collect:KAJoMsQ8ty5YlvMl,0,2025-03-03-malamute,Mtwara,d7065a46-0e02-44bb-8dce-0ef3e7a9105c,Nanyumbu District Council,96bac590-90d1-4607-bb01-4662d0625df5,Collie Health Center,c22e2466-554d-4fe7-8bd2-3dcf9f88df01
1,2025-05-09T08:30:24.050Z,2025-05-09T11:28:05.821+03:00,2025-05-09T11:28:51.646+03:00,2025-05-09,collect:OY4vCv4ylChRLLXG,,,audrey,2025-03-01,Mtwara|d7065a46-0e02-44bb-8dce-0ef3e7a9105c,Nanyumbu District Council|96bac590-90d1-4607-bb01-4662d0625df5,Nanyumbu Hospital|c22e2466-554d-4fe7-8bd2-3dcf9f88df01,,Mar (3/2025),30,43,187,,uuid:ea482789-a0c1-4c9a-9ece-522101691fd2,uuid:ea482789-a0c1-4c9a-9ece-522101691fd2,47,Human Health Workers,0,0,,,collect:QFI0jMWteFb0bG78,0,2025-03-03-malamute,Mtwara,d7065a46-0e02-44bb-8dce-0ef3e7a9105c,Nanyumbu District Council,96bac590-90d1-4607-bb01-4662d0625df5,Weimaraner Health Center,c22e2466-554d-4fe7-8bd2-3dcf9f88df01
2,2025-05-09T06:02:17.357Z,2025-05-09T08:59:43.111+03:00,2025-05-09T09:02:02.205+03:00,2025-05-09,collect:FagJFA4wq7ChsojB,,,audrey,2025-04-01,Mara|1b9d682f-2892-4dfe-a004-91ff2a3eb633,Butiama District Council|fa96fd01-f1f8-4df1-b512-f90844f85aaa,Kiagata Health Center|5e91c135-b6f0-421f-8974-63453218df24,,Apr (4/2025),17,31,157,,uuid:4e243347-1d78-4391-a862-690b9c1bb083,uuid:4e243347-1d78-4391-a862-690b9c1bb083,47,Human Health Workers,0,0,,,collect:Os89sGUd0Vmo4fCk,0,2025-03-03-malamute,Mara,1b9d682f-2892-4dfe-a004-91ff2a3eb633,Butiama District Council,fa96fd01-f1f8-4df1-b512-f90844f85aaa,Bullmastiff Health Center,5e91c135-b6f0-421f-8974-63453218df24
3,2025-05-08T09:57:37.229Z,2025-04-15T12:45:24.089+03:00,2025-05-08T12:56:45.034+03:00,2025-04-15,collect:RptiVWrdoQ5JNlh4,,,audrey,2025-04-01,Mara|1b9d682f-2892-4dfe-a004-91ff2a3eb633,Rorya District Council|f3808edc-a6d4-4b36-927f-c529fb37fe3c,Shirati Hospital|6c52cb10-a706-4d8c-b06a-d68b47710b12,,Apr (4/2025),39,90,211,,uuid:69ee8109-f0c0-4601-8e70-248a407ab0cf,uuid:69ee8109-f0c0-4601-8e70-248a407ab0cf,47,Human Health Workers,0,0,,,collect:9Qe2hgSmS5duxb8P,0,2025-03-03-malamute,Mara,1b9d682f-2892-4dfe-a004-91ff2a3eb633,Rorya District Council,f3808edc-a6d4-4b36-927f-c529fb37fe3c,Bullmastiff Health Center,6c52cb10-a706-4d8c-b06a-d68b47710b12
4,2025-05-08T09:52:21.298Z,2025-05-08T12:47:41.879+03:00,2025-05-08T12:52:12.113+03:00,2025-05-08,collect:t74Rzk9H00RX3SXf,,,audrey,2025-04-08,Mara|1b9d682f-2892-4dfe-a004-91ff2a3eb633,Musoma Municipal Council|49ae3d10-712f-4b30-8bbd-ab38a4864166,Musoma Regional Hospital|90d776ec-f6c6-4b7e-9062-a461b8287618,,Apr (4/2025),47,27,291,,uuid:ab9d9228-8b3b-439e-84c3-e1f8092ea7d8,uuid:ab9d9228-8b3b-439e-84c3-e1f8092ea7d8,47,Human Health Workers,0,0,,,collect:nYqYquEKQtTe5IdS,0,2025-03-03-malamute,Mara,1b9d682f-2892-4dfe-a004-91ff2a3eb633,Musoma Municipal Council,49ae3d10-712f-4b30-8bbd-ab38a4864166,Chihuahua Health Center,90d776ec-f6c6-4b7e-9062-a461b8287618
5,2025-05-08T09:22:45.889Z,2025-05-08T12:19:44.650+03:00,2025-05-08T12:22:44.210+03:00,2025-05-08,collect:TPMZniZln6QIMPvf,,,audrey,2025-04-01,Mara|1b9d682f-2892-4dfe-a004-91ff2a3eb633,Bunda Town Council|561147d7-2555-4cba-8290-7d8fc0562806,Manyamanyama Health Center|9471a3e5-bade-42e7-8020-ce4f6a5d0731,,Apr (4/2025),27,4,155,,uuid:616e67cb-4784-4a1b-9fc1-d268ed5ec38a,uuid:616e67cb-4784-4a1b-9fc1-d268ed5ec38a,47,Human Health Workers,0,0,,,collect:5cNLV1mKM9iSSev8,0,2025-03-03-malamute,Mara,1b9d682f-2892-4dfe-a004-91ff2a3eb633,Bunda Town Council,561147d7-2555-4cba-8290-7d8fc0562806,Great Dane Health Center,9471a3e5-bade-42e7-8020-ce4f6a5d0731
6,2025-05-08T08:30:03.822Z,2025-05-08T11:29:35.010+03:00,2025-05-08T11:30:00.918+03:00,2025-05-08,collect:cAg4bzQs9u00LPlF,,,audrey,2025-04-01,Mara|1b9d682f-2892-4dfe-a004-91ff2a3eb633,Rorya District Council|f3808edc-a6d4-4b36-927f-c529fb37fe3c,Kinesi Health Center|2fd71139-d799-4506-8e9b-813647bff89d,,Apr (4/2025),39,67,27,,uuid:7f379ea7-3263-4269-beb2-dd2c03fbc4a9,uuid:7f379ea7-3263-4269-beb2-dd2c03fbc4a9,47,Human Health Workers,0,0,,,collect:CylZhkfgGDQSk4Ck,0,2025-03-03-malamute,Mara,1b9d682f-2892-4dfe-a004-91ff2a3eb633,Rorya District Council,f3808edc-a6d4-4b36-927f-c529fb37fe3c,Dachshund Health Center,2fd71139-d799-4506-8e9b-813647bff89d
7,2025-05-08T07:35:55.746Z,2025-05-08T10:34:33.506+03:00,2025-05-08T10:35:52.603+03:00,2025-05-08,collect:eFnNJQLmJQpG7md0,,,audrey,2025-04-01,Mara|1b9d682f-2892-4dfe-a004-91ff2a3eb633,Tarime District Council|40f82320-c30c-4030-8513-5ff75f38e664,Sirari Health Center|d0e4028a-8ed8-4efc-bd0c-8320d719d1cf,,Apr (4/2025),7,63,2,,uuid:0393fbd4-ac03-430b-b91e-02b26087ecec,uuid:0393fbd4-ac03-430b-b91e-02b26087ecec,47,Human Health Workers,0,0,,,collect:RFpmLNU0RTn5NpkG,0,2025-03-03-malamute,Mara,1b9d682f-2892-4dfe-a004-91ff2a3eb633,Tarime District Council,40f82320-c30c-4030-8513-5ff75f38e664,Mastiff Health Center,d0e4028a-8ed8-4efc-bd0c-8320d719d1cf
8,2025-05-08T07:35:55.591Z,2025-05-08T10:33:01.516+03:00,2025-05-08T10:34:30.869+03:00,2025-05-08,collect:V1FFP7CWLYqfCMr0,,,audrey,2025-03-01,Mara|1b9d682f-2892-4dfe-a004-91ff2a3eb633,Tarime District Council|40f82320-c30c-4030-8513-5ff75f38e664,Sirari Health Center|d0e4028a-8ed8-4efc-bd0c-8320d719d1cf,,Mar (3/2025),43,6,247,,uuid:bbc41d6a-a694-4a74-8a50-354e10378e22,uuid:bbc41d6a-a694-4a74-8a50-354e10378e22,47,Human Health Workers,0,0,,,collect:O89jDWVKrTQ04Yy2,0,2025-03-03-malamute,Mara,1b9d682f-2892-4dfe-a004-91ff2a3eb633,Tarime District Council,40f82320-c30c-4030-8513-5ff75f38e664,Maltese Health Center,d0e4028a-8ed8-4efc-bd0c-8320d719d1cf
9,2025-05-07T11:28:27.654Z,2025-05-07T09:37:17.989+03:00,2025-05-07T09:43:14.878+03:00,2025-05-07,collect:ekXlQBagQWhUIgUS,,,audrey,2025-04-01,Lindi|322f9ce5-a582-469e-b188-4cc5b37837e0,Lindi Municipal Council|e62839a6-22a4-47ce-85ac-d000ef4cc385,Sokoine Hospital|64d2c724-a508-4284-af3f-26275897225d,,Apr (4/2025),11,28,2,,uuid:cd13ed47-aa3a-492e-b533-dedef0520623,uuid:cd13ed47-aa3a-492e-b533-dedef0520623,47,Human Health Workers,0,0,,,collect:c4uLz3Fqw6YaFSKo,0,2025-03-03-malamute,Lindi,322f9ce5-a582-469e-b188-4cc5b37837e0,Lindi Municipal Council,e62839a6-22a4-47ce-85ac-d000ef4cc385,Mastiff Health Center,64d2c724-a508-4284-af3f-26275897225d
